"ASSET","BKCLASS","DEP","DEPDOM","EQ","MUTUAL","NETINC","ROA","ROAPTX","ROAPTXQ","ROAQ","ROE","STNAME","TRUST"
1176626,"SM",1013636,1013636,101421,0,874,0.302745055929032,0.381722027040953,0.38,0.3,3.44,"Arkansas",1
218750,"NM",186525,186525,31451,0,550,1.03189009432414,1.33770479500565,1.34,1.03,6.75,"Iowa",1
66814,"N",58717,58717,7973,0,213,1.27394249315929,1.28590439450351,1.29,1.27,10.72,"Alabama",0
940399,"NM",800553,800553,82484,0,2787,1.28770609159601,1.72941654138639,1.73,1.29,14.67,"Florida",0
10140504,"NM",8214973,8214973,1396456,0,77188,1.02191941469197,1.62409828521394,1.77,1.1,7.54,"North Carolina",0
372283,"SM",318110,318110,41664,0,1962,2.1607721291232,2.71252892662103,2.71,2.16,19.26,"Tennessee",0
50668,"N",44667,44667,5610,0,87,0.649847808631025,0.866463744841366,0.87,0.65,6.25,"Illinois",0
38956,"N",34226,34226,4592,0,25,0.25205106554588,0.282297193411385,0.28,0.25,2.19,"Iowa",1
171102,"NM",150653,150653,18244,0,317,0.360178157523974,0.360178157523974,1.23,1.23,3.39,"California",0
648824,"N",617143,617143,17472,0,-213,-0.121526267218004,-0.0108403712541882,-0.01,-0.12,-4.87,"Oklahoma",0
56523,"NM",49016,49016,7302,0,-104,-0.709473863733265,-0.634433358915324,-0.63,-0.71,-5.69,"Indiana",1
2364541,"SM",1797771,1797771,208579,0,5877,1.00625161855068,1.19767399553548,1.2,1.01,11.33,"Indiana",0
79483,"NM",70787,70787,8425,0,331,0.881526558983714,0.932127781402719,1.2,1.13,8.17,"Alabama",0
94395,"SB",74598,74598,9638,0,-315,-1.32226548152501,-2.18698512976042,-2.19,-1.32,-13.16,"Wisconsin",0
73772,"SB",62361,62361,10468,1,145,0.752347844134281,1.0221553468583,1.02,0.75,5.57,"Minnesota",0
381659,"SI",299591,299591,53202,1,307,0.320394910208544,0.351703859088857,0.35,0.32,2.3,"Massachusetts",0
1125122,"NM",960633,960633,139580,0,-828,-0.31298815804768,-0.41996357921615,-0.42,-0.31,-2.41,"Utah",0
123450,"SB",98757,98757,16579,1,70,0.226980710692818,0.226980710692818,0.23,0.23,1.69,"Missouri",0
78066,"NM",71527,71527,6216,0,-47,-0.241234401565457,-0.241234401565457,-0.24,-0.24,-2.99,"Oklahoma",0
243522,"NM",206331,206331,20802,0,286,0.465780977081459,0.465780977081459,0.47,0.47,5.47,"Indiana",1
17817,"NM",11791,11791,2645,0,170,1.22617221839034,1.22617221839034,1.45,1.45,8.62,"Nebraska",0
721897,"NM",636126,636126,53956,0,256,0.145830410909938,0.145830410909938,0.15,0.15,1.94,"Tennessee",1
1270926,"NM",1034473,1034473,122690,0,2977,0.949920946283358,1.13020490148998,1.13,0.95,9.66,"Kentucky",1
663075,"NM",557962,557962,45558,0,927,0.562328111173541,0.724293165848121,0.72,0.56,8.13,"Illinois",1
2348585,"N",1983631,1983631,236938,0,9961,1.72787563319807,2.27914445784454,2.28,1.73,17.05,"Illinois",0
18374234,"N",15417228,15417228,1789023,0,43650,0.941387976825681,1.12871663585679,1.13,0.94,9.82,"Mississippi",1
229564,"NM",205359,205359,23378,0,867,1.53538627051222,1.94801026247225,1.95,1.54,15.01,"Mississippi",1
120476,"SB",106097,106097,13388,0,686,2.27599792638673,2.52483151892172,2.52,2.28,20.19,"Indiana",1
796195,"SI",626145,626145,60167,1,918,0.467727502873938,0.637902868843323,0.64,0.47,6.08,"Massachusetts",1
559773,"SB",418502,418502,132877,1,787,0.568577941054289,0.627097398773981,0.63,0.57,2.37,"Pennsylvania",0
351525,"NM",298293,298293,37473,0,1377,1.57366707570201,1.57366707570201,1.57,1.57,14.79,"Indiana",1
